Navigation Status,MMSI,Longitude,Latitude,Ship_Type
0,525003175,105.577365,-6.305805,Passenger
8,525016636,106.12499,-5.98465,Unknown ship type
0,525301368,106.05322666666666,-5.962573333333333,Fishing
0,525019409,105.97814,-5.928565,Unknown ship type
0,525500505,106.104605,-5.947445,Pilot
0,525008066,105.720645,-6.03247,Passenger
3,525023329,106.09131166666668,-5.905965,Unknown ship type
0,525019467,105.99375833333332,-5.926715,Unknown ship type
0,525101872,106.113475,-5.963556666666666,Cargo 
5,548985000,105.95506666666668,-6.014046666666666,Unknown ship type
1,525601894,106.05496166666669,-5.603306666666667,Search and rescue vessels
2,525501780,106.10738333333332,-5.980006666666666,Pilot
0,525300875,106.12464,-5.969491666666666,Fishing
0,356291840,71.00042333333333,81.53178166666666,Tankers
0,525300595,106.11220666666668,-5.959533333333333,Fishing
0,525018198,81.24234333333334,67.55312666666667,Unknown ship type
0,526250218,106.12082333333332,-5.955595,Unknown ship type
1,525900722,106.00331833333334,-6.950776666666667,Other types of vessels
0,525007397,105.97259833333334,-5.951836666666667,Passenger
5,372241000,105.955795,-6.0113916666666665,Unknown ship type
8,525010303,106.11774,-5.97694,Unknown ship type
15,525001015,106.11341,-5.93738,Passenger
11,525401141,106.0937,-6.80108,High-speed craft
0,525005177,105.998595,-5.935803333333333,Passenger
8,525200335,105.89072666666668,-5.901118333333334,Tankers
0,525200928,68.91999666666666,63.35243666666667,Tankers
0,636019957,105.97725333333334,-5.971441666666666,Unknown ship type
0,525010092,106.108995,-5.978031666666666,Unknown ship type
15,525100250,106.05151666666669,-5.697933333333333,Cargo 
8,525014065,106.12532666666668,-5.944166666666667,Unknown ship type
0,13788093,106.11392,-5.937311666666667,Unknown ship type
8,525020371,106.12782333333334,-5.982613333333333,Unknown ship type
15,525002068,105.98713333333332,-5.956396666666667,Passenger
0,636015031,105.86746666666669,-5.834781666666666,Unknown ship type
0,374243000,106.09456833333331,-5.795991666666667,Unknown ship type
0,525001068,106.10911666666668,-5.975133333333333,Passenger
15,525024239,106.12470333333331,-5.968775,Unknown ship type
0,525012201,105.70508666666667,-5.9393883333333335,Unknown ship type
15,525006281,106.10262833333331,-5.918498333333333,Passenger
0,525024295,105.98065333333334,-5.931225,Unknown ship type
0,636015989,105.69538166666666,-6.014818333333333,Unknown ship type
15,525963284,106.11093,-5.981785,Unknown ship type
8,525006403,106.12084,-5.934386666666667,Passenger
0,525016563,106.13916,-5.955495,Unknown ship type
0,525501944,-91.86820666666668,-47.07328,Pilot
8,525501481,106.10190666666666,-5.911331666666666,Pilot
11,525021328,106.1076,-5.981823333333334,Unknown ship type
1,370385000,105.93005166666669,-6.000873333333334,Unknown ship type
0,525500784,106.121965,-5.952313333333334,Pilot
15,525601854,106.02174,-6.327406666666667,Search and rescue vessels
0,525022100,105.985285,-5.951875,Unknown ship type
0,625005399,106.09743166666668,-5.8598566666666665,Passenger
0,525007392,105.99678666666668,-5.93138,Passenger
0,525400839,105.97859166666667,-5.962296666666667,High-speed craft
